Surface,Surface energy (ev/A2),BL of Zn-O ,Efermi (eV),Molecule,H-L gap,polarity,Ads Mode,Eads (eV)
1010,0.12,1.77,-2.99,CO2,-8.9442,0,3,-5.76
1010,0.12,1.77,-2.99,CO,-6.8965,0.112,1,-6.71
1010,0.12,1.77,-2.99,CH4,-8.9442,0,0,-7.51
1010,0.12,1.77,-2.99,NO,-3.8521,0.159,2,-6.5
1010,0.12,1.77,-2.99,NO2,-2.4273,0.32,1,-6.18
1010,0.12,1.77,-2.99,H2S,-2.0212,0.97,4,-9.49
1010,0.12,1.77,-2.99,SO2,-3.5257,1.6,3,-10.74
1010,0.12,1.77,-2.99,H2,-5.93,0,4,-5.93
1011,0.1,1.85,-3.27,CO2,-8.9442,0,0,-1.48
1011,0.1,1.85,-3.27,CO,-6.8965,0.112,0,-1.38
1011,0.1,1.85,-3.27,CH4,-8.9442,0,0,-1.4
1011,0.1,1.85,-3.27,NO,-3.8521,0.159,1,-4.04
1011,0.1,1.85,-3.27,NO2,-2.4273,0.32,1,-6.89
1011,0.1,1.85,-3.27,H2S,-2.0212,0.97,4,-11.72
1011,0.1,1.85,-3.27,SO2,-3.5257,1.6,1,-6.28
1011,0.1,1.85,-3.27,H2,-6.22,0,4,-6.22
1120,0.09,1.9,-3.47,CO2,-8.9442,0,0,-0.32
1120,0.09,1.9,-3.47,CO,-6.8965,0.112,0,-0.56
1120,0.09,1.9,-3.47,CH4,-8.9442,0,0,-0.28
1120,0.09,1.9,-3.47,NO,-3.8521,0.159,1,-0.45
1120,0.09,1.9,-3.47,NO2,-2.4273,0.32,2,-0.82
1120,0.09,1.9,-3.47,H2S,-2.0212,0.97,1,-1.42
1120,0.09,1.9,-3.47,SO2,-3.5257,1.6,2,-1.54
1120,0.09,1.9,-3.47,H2,-0.23,0,0,-0.23
1013,0.03,1.87,-3.24,CO2,-8.9442,0,0,-1.44
1013,0.03,1.87,-3.24,CO,-6.8965,0.112,2,-1.22
1013,0.03,1.87,-3.24,CH4,-8.9442,0,0,-1.49
1013,0.03,1.87,-3.24,NO,-3.8521,0.159,1,-2.84
1013,0.03,1.87,-3.24,NO2,-2.4273,0.32,2,-2.51
1013,0.03,1.87,-3.24,H2S,-2.0212,0.97,4,-4.46
1013,0.03,1.87,-3.24,SO2,-3.5257,1.6,3,-4.71
1013,0.03,1.87,-3.24,H2,-0.93,0,0,-0.93
1122,0.05,1.81,-2.91,CO2,-8.9442,0,2,-2.04
1122,0.05,1.81,-2.91,CO,-6.8965,0.112,1,-1.59
1122,0.05,1.81,-2.91,CH4,-8.9442,0,0,-0.78
1122,0.05,1.81,-2.91,NO,-3.8521,0.159,2,-1.86
1122,0.05,1.81,-2.91,NO2,-2.4273,0.32,2,-3.12
1122,0.05,1.81,-2.91,H2S,-2.0212,0.97,4,-10.52
1122,0.05,1.81,-2.91,SO2,-3.5257,1.6,1,-10.06
1122,0.05,1.81,-2.91,H2,-0.73,0,0,-0.73
